PHASE,CAT,NAME,OPP,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,FO,TO,STL,BLK,+/-,EFF,RES
Group,Single,Iran,Czech Republic,78,31,62,0.500,25,43,0.580,6,19,0.320,10,17,0.590,7,26,33,20,18,21,9,1,-6,79,0.000
Group,Single,Czech Republic,Iran,84,33,74,0.450,27,44,0.610,6,30,0.200,12,18,0.670,16,27,43,29,17,15,12,2,6,105,1.000
Group,Single,Germany,Italy,82,30,64,0.470,15,32,0.470,15,32,0.470,7,9,0.780,9,25,34,15,16,14,6,2,-10,84,0.000
Group,Single,Italy,Germany,92,34,68,0.500,19,37,0.510,15,31,0.480,9,12,0.750,9,26,35,20,15,9,11,4,10,112,1.000
Group,Single,Australia,Nigeria,84,28,71,0.390,17,47,0.360,11,24,0.460,17,19,0.900,13,31,44,21,20,21,12,1,17,90,1.000
Group,Single,Nigeria,Australia,67,24,61,0.390,17,37,0.460,7,24,0.290,12,24,0.500,9,29,38,16,22,24,14,7,-17,67,0.000
Group,Single,France,USA,83,29,62,0.470,21,35,0.600,8,27,0.300,17,24,0.710,9,33,42,18,21,14,5,0,7,90,1.000
Group,Single,USA,France,76,25,69,0.360,15,37,0.410,10,32,0.310,16,21,0.760,11,25,36,23,25,12,8,4,-7,82,0.000
Group,Single,Argentina,Slovenia,100,37,83,0.450,32,52,0.610,5,31,0.160,21,25,0.840,7,25,32,20,27,10,12,2,-18,103,0.000
Group,Single,Slovenia,Argentina,118,42,84,0.500,26,41,0.630,16,43,0.370,18,27,0.670,18,41,59,17,29,19,3,4,18,128,1.000
Group,Single,Japan,Spain,77,26,64,0.410,15,37,0.410,11,27,0.410,14,18,0.780,8,24,32,20,16,11,7,3,-11,79,0.000
Group,Single,Spain,Japan,88,36,70,0.510,28,42,0.670,8,28,0.290,8,11,0.730,10,32,42,20,21,11,5,3,11,110,1.000
Group,Single,Nigeria,Germany,92,34,67,0.510,17,31,0.550,17,36,0.470,7,12,0.580,5,23,28,22,26,18,12,5,-7,101,0.000
Group,Single,Germany,Nigeria,99,34,63,0.540,22,37,0.590,12,26,0.460,19,23,0.830,8,27,35,19,16,20,6,0,7,102,1.000
Group,Single,USA,Iran,120,42,76,0.550,23,37,0.620,19,39,0.490,17,18,0.940,7,32,39,34,16,6,10,10,54,168,1.000
Group,Single,Iran,USA,66,25,67,0.370,16,41,0.390,9,26,0.350,7,13,0.540,12,27,39,17,15,23,3,1,-54,56,0.000
Group,Single,Italy,Australia,83,33,66,0.500,25,41,0.610,8,25,0.320,9,10,0.900,6,24,30,16,18,7,3,3,-3,92,0.000
Group,Single,Australia,Italy,86,32,70,0.460,21,39,0.540,11,31,0.350,11,14,0.790,16,28,44,26,18,11,4,4,3,109,1.000
Group,Single,Czech Republic,France,77,31,58,0.530,23,41,0.560,8,17,0.470,7,16,0.440,7,19,26,24,11,17,11,3,-20,87,0.000
Group,Single,France,Czech Republic,97,38,68,0.560,25,38,0.660,13,30,0.430,8,10,0.800,11,24,35,27,19,15,9,0,20,119,1.000
